id_actividadæid_tipo_componenteæCom_Lubætipo_consumidoæcantidad_consumida
905641æ25æGæ1    æ39.7æ
905643æ25æGæ1    æ22æ
905644æ25æGæ1    æ32æ
905645æ25æGæ1    æ28.5æ
905647æ25æGæ1    æ45æ
905650æ25æGæ1    æ42.6æ
905651æ25æGæ1    æ36.9æ
905652æ25æGæ1    æ44æ
905653æ25æGæ1    æ41.8æ
905654æ25æGæ1    æ41.2æ
905656æ25æGæ1    æ27æ
905661æ25æGæ1    æ50æ
905663æ25æGæ1    æ45æ
905664æ25æGæ1    æ41æ
905670æ25æGæ1    æ81æ
905671æ25æGæ1    æ56æ
905679æ25æGæ1    æ41æ
905680æ25æGæ1    æ15æ
905685æ25æGæ1    æ45æ
905687æ25æGæ1    æ45æ
905689æ25æGæ1    æ11æ
905691æ25æGæ1    æ23æ
905693æ25æGæ1    æ17æ
905696æ25æGæ1    æ25æ
905697æ25æGæ1    æ11.5æ
905698æ25æGæ1    æ4æ
905699æ25æGæ1    æ8æ
905700æ25æGæ1    æ12æ
905701æ25æGæ1    æ13æ
905703æ25æGæ1    æ14æ
905704æ25æGæ1    æ9æ
905708æ25æGæ1    æ4æ
905711æ25æGæ1    æ15æ
905713æ25æGæ1    æ15æ
905714æ25æGæ1    æ9æ
905715æ25æGæ1    æ11æ
905716æ25æGæ1    æ8æ
905717æ25æGæ1    æ9.3æ
905719æ25æGæ1    æ8æ
905723æ25æGæ1    æ11æ
905726æ25æGæ1    æ14æ
905728æ25æGæ1    æ9æ
905730æ25æGæ1    æ45æ
905731æ25æGæ1    æ15æ
905732æ25æGæ1    æ11æ
905737æ25æGæ1    æ22æ
905739æ25æGæ1    æ18æ
905741æ25æGæ1    æ23æ
905745æ25æGæ1    æ14.01æ
905748æ25æGæ1    æ11æ
905751æ25æGæ1    æ7æ
905752æ25æGæ1    æ4æ
905753æ25æGæ1    æ14.4æ
905755æ25æGæ1    æ15æ
905756æ25æGæ1    æ13æ
905757æ25æGæ1    æ11æ
905760æ25æGæ1    æ8æ
905761æ25æGæ1    æ12æ
905763æ25æGæ1    æ24æ
905767æ25æGæ1    æ65æ
905768æ25æGæ1    æ34æ
